Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.071,1.02,5.07,5.08,5.067,5.0748,3787,19218.47,32,5.327,4.903,2023-03-09
BTF,FONDUL INCHIS DE INVESTITII BET FI INDEX INVEST,200,610.0,0.0,610.0,610.0,610.0,610.0,1,610.0,1,610.0,600.0,2023-03-09
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.58,3.21,18.6,18.6,18.5,18.5489,7485,138838.77,168,18.876,15.86,2023-03-10
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.085,0.28,5.1,5.1,5.08,5.0863,8460,43030.18,39,5.327,4.903,2023-03-10
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.566,1.43,18.6,18.636,18.55,18.5842,15020,279135.546,166,18.876,15.86,2023-03-11
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.1,0.29,5.1,5.115,5.1,5.1049,7173,36617.92,45,5.327,4.903,2023-03-11
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.64,0.84,18.61,18.644,18.592,18.6229,9335,173845.658,174,18.876,15.86,2023-03-12
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.111,0.22,5.126,5.128,5.1,5.1208,5678,29075.999,51,5.327,4.903,2023-03-12
STK,STK EMERGENT,200,69.0,-1.43,69.0,69.0,69.0,69.0,20,1380.0,1,74.0,57.5,2023-03-12
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.696,1.15,18.664,18.7,18.66,18.6863,12115,226384.918,215,18.876,15.86,2023-03-13
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.1,-0.22,5.12,5.12,5.1,5.1122,11467,58622.475,81,5.327,4.903,2023-03-13
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.708,0.81,18.7,18.762,18.698,18.7254,13137,245995.624,241,18.876,15.86,2023-03-14
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.131,1.08,5.125,5.135,5.1,5.126,2538,13010.034,27,5.327,4.903,2023-03-14
STK,STK EMERGENT,200,69.0,0.0,69.0,69.0,69.0,69.0,20,1380.0,1,74.0,57.5,2023-03-14
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.714,0.7,18.76,18.768,18.698,18.7214,11067,207190.464,202,18.876,15.86,2023-03-15
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.129,-0.04,5.131,5.135,5.12,5.1292,3715,19055.047,36,5.327,4.903,2023-03-15
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.786,0.51,18.856,18.856,18.78,18.819,12044,226656.324,198,18.876,15.86,2023-03-16
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.174,0.82,5.176,5.176,5.125,5.1652,4483,23156.011,34,5.327,4.903,2023-03-16
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.706,0.23,18.838,18.838,18.678,18.7392,16121,302096.246,225,18.876,15.86,2023-03-17
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.16,0.41,5.174,5.175,5.145,5.1667,3382,17473.885,26,5.327,4.903,2023-03-17
STK,STK EMERGENT,200,69.0,0.0,69.0,69.0,69.0,69.0,5,345.0,1,74.0,57.5,2023-03-17
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.678,0.42,18.762,18.762,18.61,18.6956,8344,155996.184,175,18.876,15.86,2023-03-18
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.152,0.68,5.159,5.159,5.14,5.1495,3218,16571.233,31,5.327,4.903,2023-03-18
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.76,1.27,18.73,18.76,18.678,18.6978,8098,151415.318,152,18.876,15.86,2023-03-19
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.154,0.88,5.159,5.159,5.15,5.156,4892,25223.258,32,5.327,4.903,2023-03-19
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.65,0.14,18.78,18.78,18.6,18.6714,8006,149483.482,165,18.876,15.86,2023-03-20
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.137,0.27,5.154,5.16,5.13,5.1416,2976,15301.64,30,5.327,4.903,2023-03-20
STK,STK EMERGENT,200,68.0,-1.45,66.5,68.0,66.5,66.875,4,267.5,2,74.0,57.5,2023-03-20
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.63,0.37,18.71,18.71,18.5,18.6024,10435,194116.332,194,18.876,15.86,2023-03-21
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.12,0.31,5.148,5.16,5.11,5.1464,2770,14255.538,26,5.327,4.903,2023-03-21
STK,STK EMERGENT,200,66.0,-2.94,66.5,66.5,66.0,66.003,1000,66003.0,5,74.0,57.5,2023-03-21
